,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Texas Christian,12,0,1.000,9,0,1.000,41.3,24.5,19.28,5.78,3,,3,
Kansas State,9,3,.750,7,2,.778,33.4,19.4,18.71,7.71,13,,13,
Texas,8,4,.667,6,3,.667,35.7,21.2,18.25,9.25,21,,18,
Texas Tech,7,5,.583,5,4,.556,33.6,29.5,10.12,8.04,,,,
Oklahoma State,7,5,.583,4,5,.444,31.8,29.3,7.39,6.06,,12,7,
Baylor,6,6,.500,4,5,.444,33.6,26.6,9.11,6.53,,10,9,
Kansas,6,6,.500,3,6,.333,34.2,33.8,8.35,8.10,,,19,
Oklahoma,6,6,.500,3,6,.333,32.9,29.6,10.14,7.22,,9,6,
West Virginia,5,7,.417,3,6,.333,30.6,32.9,4.47,7.63,,,,
Iowa State,4,8,.333,1,8,.111,20.2,20.3,7.27,7.94,,,,